Month,Male,Female
2001,1927,2617,2993,2645,3093,2049,1984
2002,2313,3348,3777,3739,1795,4397,1227
2003,1436,2501,3442,1993,2035,2684,2092
2004,494,1021,1629,1995,1909,2423,884
2005,551,707,1264,896,646,1628,537
2006,2360,1961,1565,1263,1332,1481,969
2007,2353,1289,1234,2313,1936,903,570
2008,1400,2129,1762,749,1129,1720,946
2009,1867,1544,1396,732,728,1794,1852
2010,257,397,664,719,471,447,294
2011,790,633,626,485,766,669,489
2012,2390,2366,2816,2673,2044,3767,1723
