Month,Domestic Violence- Cases Reported,Domestic Violence- Persons Arrested,Domestic Violence- Convicted
Andhra Pradesh,10862,20983,2220
Assam,3581,3736,404
Rajasthan,8552,8670,1139
West Bengal,14114,18603,2174
Delhi,1516,955,110
