Month,Domestic Violence- Cases Reported,Domestic Violence- Persons Arrested,Domestic Violence- Convicted
Andhra Pradesh,13975,22119,2340
Assam,5367,5040,545
Rajasthan,12732,10464,1375
West Bengal,20282,18701,2185
Delhi,1717,1106,128
