Month,Rape- Cases Reported,Rape- Persons Arrested,Rape- Convicted
Assam,1171,1233,193
Madhya Pradesh,2875,4181,685
Orissa,770,906,151
West Bengal,1475,1661,286
Delhi,551,737,116
