Month,Sexual Harrassment- Cases Reported,Sexual Harassment- Persons Arrested,Sexual Harassment- Convicted
Andhra Pradesh,8530,9182,1205
Assam,1845,2262,236
Chhattisgarh,1763,2084,234
Madhya Pradesh,7429,9141,855
Delhi,935,1170,136
