Month,Domestic Violence- Cases Reported,Domestic Violence- Persons Arrested,Domestic Violence- Convicted
Andhra Pradesh,7467,13192,1396
Assam,1764,2235,241
Rajasthan,6090,7894,1037
West Bengal,4342,9576,1119
Delhi,270,1189,137
