Month,Domestic Violence- Cases Reported,Domestic Violence- Persons Arrested,Domestic Violence- Convicted
Andhra Pradesh,8900,16511,1747
Assam,2019,3600,389
Rajasthan,7160,7479,983
West Bengal,6730,13177,1540
Delhi,1380,2870,332
