Month,Rape- Cases Reported,Rape- Persons Arrested,Rape- Convicted
Assam,1095,1188,186
Madhya Pradesh,2738,3694,605
Orissa,725,839,140
West Bengal,1002,1497,258
Delhi,490,624,98
