Month,Kidnapping and Abduction- Cases Reported,Kidnapping and Abduction- Persons Arrested,Kidnapping and Abduction- Convicted
Assam,1459,2250,156
Rajasthan,1549,926,71
Uttar Pradesh,2256,3593,279
West Bengal,1100,1565,105
Delhi,1107,419,32
