Month,Domestic Violence- Cases Reported,Domestic Violence- Persons Arrested,Domestic Violence- Convicted
Andhra Pradesh,8633,16944,1793
Assam,1868,3284,355
Rajasthan,6122,8698,1143
West Bengal,5277,11126,1300
Delhi,1341,2753,319
