Month,Kidnapping and Abduction- Cases Reported,Kidnapping and Abduction- Persons Arrested,Kidnapping and Abduction- Convicted
Assam,2093,2392,166
Rajasthan,2310,1138,87
Uttar Pradesh,5078,10487,816
West Bengal,2192,1958,131
Delhi,1655,375,29
