Month,Rape- Cases Reported,Rape- Persons Arrested,Rape- Convicted
Assam,1437,1477,231
Madhya Pradesh,3010,4131,677
Orissa,939,1026,171
West Bengal,2106,2409,415
Delhi,598,731,115
