Month,Sexual Harrassment- Cases Reported,Sexual Harassment- Persons Arrested,Sexual Harassment- Convicted
Andhra Pradesh,6103,6966,914
Assam,918,1297,135
Chhattisgarh,1582,1907,214
Madhya Pradesh,7218,8640,808
Delhi,987,1223,142
