Month,Rape- Cases Reported,Rape- Persons Arrested,Rape- Convicted
Assam,1438,1445,226
Madhya Pradesh,2937,3875,635
Orissa,1113,1045,174
West Bengal,2263,1790,308
Delhi,466,573,90
