Month,Kidnapping and Abduction- Cases Reported,Kidnapping and Abduction- Persons Arrested,Kidnapping and Abduction- Convicted
Assam,1544,1848,128
Rajasthan,1556,1011,77
Uttar Pradesh,2551,4270,332
West Bengal,1200,1660,111
Delhi,1066,402,31
