Month,Domestic Violence- Cases Reported,Domestic Violence- Persons Arrested,Domestic Violence- Convicted
Andhra Pradesh,12668,22894,2422
Assam,5585,6471,700
Rajasthan,11607,9729,1278
West Bengal,18303,19511,2280
Delhi,1547,1087,126
