Month,Domestic Violence- Cases Reported,Domestic Violence- Persons Arrested,Domestic Violence- Convicted
Andhra Pradesh,9683,16805,1778
Assam,2653,3401,368
Rajasthan,7432,8942,1175
West Bengal,7859,16412,1918
Delhi,1865,3576,414
