Month,Sexual Harrassment- Cases Reported,Sexual Harassment- Persons Arrested,Sexual Harassment- Convicted
Andhra Pradesh,6127,6787,890
Assam,894,1341,140
Chhattisgarh,1792,2127,239
Madhya Pradesh,7494,9054,847
Delhi,731,893,104
