Month,Kidnapping and Abduction- Cases Reported,Kidnapping and Abduction- Persons Arrested,Kidnapping and Abduction- Convicted
Assam,3362,2689,187
Rajasthan,2697,1565,120
Uttar Pradesh,7910,20565,1601
West Bengal,4180,3352,225
Delhi,2160,478,37
