Month,Domestic Violence- Cases Reported,Domestic Violence- Persons Arrested,Domestic Violence- Convicted
Andhra Pradesh,11843,20238,2141
Assam,4568,6050,654
Rajasthan,10807,9879,1298
West Bengal,16618,14886,1739
Delhi,1424,900,104
