Month,Kidnapping and Abduction- Cases Reported,Kidnapping and Abduction- Persons Arrested,Kidnapping and Abduction- Convicted
Assam,1070,1583,110
Rajasthan,2166,1261,97
Uttar Pradesh,2879,4295,334
West Bengal,698,1331,89
Delhi,964,298,23
