Month,Sexual Harrassment- Cases Reported,Sexual Harassment- Persons Arrested,Sexual Harassment- Convicted
Andhra Pradesh,5823,6488,851
Assam,991,1379,144
Chhattisgarh,1630,1905,214
Madhya Pradesh,7901,9870,924
Delhi,574,805,94
