Month,Kidnapping and Abduction- Cases Reported,Kidnapping and Abduction- Persons Arrested,Kidnapping and Abduction- Convicted
Assam,1789,1965,137
Rajasthan,1863,942,72
Uttar Pradesh,4439,8280,644
West Bengal,1912,1857,124
Delhi,1136,412,32
