Month,Rape- Cases Reported,Rape- Persons Arrested,Rape- Convicted
Assam,1244,1290,202
Madhya Pradesh,2900,3878,635
Orissa,985,1020,170
West Bengal,1731,2045,352
Delhi,623,778,122
