Month,Kidnapping and Abduction- Cases Reported,Kidnapping and Abduction- Persons Arrested,Kidnapping and Abduction- Convicted
Assam,1351,1894,132
Rajasthan,1751,921,70
Uttar Pradesh,1499,2374,184
West Bengal,802,1571,105
Delhi,797,274,21
