Month,Rape- Cases Reported,Rape- Persons Arrested,Rape- Convicted
Assam,1700,1470,230
Madhya Pradesh,3406,4593,752
Orissa,1112,1224,204
West Bengal,2363,1870,322
Delhi,572,707,111
