Month,Sexual Harrassment- Cases Reported,Sexual Harassment- Persons Arrested,Sexual Harassment- Convicted
Andhra Pradesh,8507,8676,1138
Assam,1201,1820,190
Chhattisgarh,1828,2198,247
Madhya Pradesh,7427,8754,819
Delhi,819,1030,120
