Month,Domestic Violence- Cases Reported,Domestic Violence- Persons Arrested,Domestic Violence- Convicted
Andhra Pradesh,9139,16689,1766
Assam,2305,3613,390
Rajasthan,6358,7359,967
West Bengal,7382,13157,1537
Delhi,1438,2839,329
