Month,Domestic Violence- Cases Reported,Domestic Violence- Persons Arrested,Domestic Violence- Convicted
Andhra Pradesh,6211,10779,1140
Assam,1307,1610,174
Rajasthan,5908,7804,1025
West Bengal,4124,7370,861
Delhi,251,1456,168
