Month,Rape- Cases Reported,Rape- Persons Arrested,Rape- Convicted
Assam,1238,1406,220
Madhya Pradesh,2921,3900,639
Orissa,799,838,140
West Bengal,1686,2085,359
Delhi,658,856,135
