Month,Kidnapping and Abduction- Cases Reported,Kidnapping and Abduction- Persons Arrested,Kidnapping and Abduction- Convicted
Assam,1552,2083,145
Rajasthan,1882,1245,95
Uttar Pradesh,2327,3709,288
West Bengal,1030,1620,108
Delhi,881,331,25
