Month,Kidnapping and Abduction- Cases Reported,Kidnapping and Abduction- Persons Arrested,Kidnapping and Abduction- Convicted
Assam,1276,1967,137
Rajasthan,2019,1103,84
Uttar Pradesh,2298,3829,298
West Bengal,695,1781,119
Delhi,893,325,25
