Month,Rape- Cases Reported,Rape- Persons Arrested,Rape- Convicted
Assam,1721,1629,255
Madhya Pradesh,3135,4387,719
Orissa,1025,1363,227
West Bengal,2311,2395,413
Delhi,507,602,94
