Month,Kidnapping and Abduction- Cases Reported,Kidnapping and Abduction- Persons Arrested,Kidnapping and Abduction- Convicted
Assam,2767,2687,187
Rajasthan,2477,1281,98
Uttar Pradesh,5468,11903,927
West Bengal,2772,2254,151
Delhi,1740,366,28
