Month,Sexual Harrassment- Cases Reported,Sexual Harassment- Persons Arrested,Sexual Harassment- Convicted
Andhra Pradesh,7722,8507,1116
Assam,799,1482,154
Chhattisgarh,1660,1960,220
Madhya Pradesh,7552,9157,857
Delhi,1035,1324,154
