Month,Sexual Harrassment- Cases Reported,Sexual Harassment- Persons Arrested,Sexual Harassment- Convicted
Andhra Pradesh,6945,7247,951
Assam,1300,1726,180
Chhattisgarh,1741,2059,231
Madhya Pradesh,7005,8205,768
Delhi,862,1050,122
