Month,Kidnapping and Abduction- Cases Reported,Kidnapping and Abduction- Persons Arrested,Kidnapping and Abduction- Convicted
Assam,1471,1721,120
Rajasthan,1694,942,72
Uttar Pradesh,3363,5683,442
West Bengal,1595,1742,117
Delhi,1167,352,27
