Month,Rape- Cases Reported,Rape- Persons Arrested,Rape- Convicted
Assam,1716,1626,255
Madhya Pradesh,3425,4822,790
Orissa,1458,1666,278
West Bengal,2046,1963,338
Delhi,706,892,140
