Month,Domestic Violence- Cases Reported,Domestic Violence- Persons Arrested,Domestic Violence- Convicted
Andhra Pradesh,13893,22518,2383
Assam,6547,5650,611
Rajasthan,13790,10580,1390
West Bengal,20458,24256,2835
Delhi,2119,1326,153
