Month,Rape- Cases Reported,Rape- Persons Arrested,Rape- Convicted
Assam,1631,1644,258
Madhya Pradesh,2998,4243,695
Orissa,1023,1119,186
West Bengal,2336,1748,301
Delhi,469,557,87
