Month,Sexual Harrassment- Cases Reported,Sexual Harassment- Persons Arrested,Sexual Harassment- Convicted
Andhra Pradesh,9196,8442,1108
Assam,1420,2055,214
Chhattisgarh,1888,2230,250
Madhya Pradesh,7564,9045,846
Delhi,681,883,103
