Month,Sexual Harrassment- Cases Reported,Sexual Harassment- Persons Arrested,Sexual Harassment- Convicted
Andhra Pradesh,5815,5907,775
Assam,854,1172,122
Chhattisgarh,1924,2300,258
Madhya Pradesh,7814,9319,872
Delhi,592,757,88
